,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_STATE_FIPS,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_STATE_FIPS,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,SUCCESS_RATES,FILL_RATES,DEPARTURE_SUCCESS
DEPARTURES_SCHEDULED,1.0,0.9981154719262681,0.9953344608167788,0.9965902713256874,0.9923065118688865,0.7648795232643809,0.8913504028492886,-0.40637826711742064,0.9955501507649144,0.9948887951031757,-0.23779459128758804,,,-0.5150728876646897,-0.5150728876646896,-0.51507288766469,,,-0.23693166405254806,-0.23693129011535796,0.021876182245470357,,,-0.05740676345971817,0.25920783614465204,,0.10075134883448482,-0.04919956513090195,-0.05839214361078685,,0.46591722760664583,0.15622021607659373,-0.09057489034892381
DEPARTURES_PERFORMED,0.9981154719262681,1.0,0.9972038409705576,0.9984514221172602,0.993941451459703,0.7684935537155821,0.8929991343526678,-0.40780524124125206,0.9977948932008438,0.9972346885359209,-0.2386248333640856,,,-0.5168352903493063,-0.5168352903493061,-0.5168352903493066,,,-0.23588751396505275,-0.2358871718192928,0.02411128484168595,,,-0.05894094343422578,0.26008406133100714,,0.09782509295125846,-0.04867906812858119,-0.05762786881546111,,0.46559044458200327,0.15680292803769594,-0.05992920491317737
PAYLOAD,0.9953344608167788,0.9972038409705576,1.0,0.9996043291970395,0.9945755576966687,0.7583493318568887,0.9010139463981882,-0.42468619168662075,0.9940679467850428,0.9934443563850509,-0.2375829318051752,,,-0.5487212395686133,-0.5487212395686126,-0.5487212395686134,,,-0.21653477640771632,-0.21653457365908743,0.04534677638561023,,,-0.0529200895689248,0.2678241744289099,,0.08608251293073829,-0.04206981862574636,-0.05028785564805775,,0.49690394321903475,0.1448722285902964,-0.05992566780511854
SEATS,0.9965902713256874,0.9984514221172602,0.9996043291970395,1.0,0.9952195189569559,0.7619464482024485,0.8989132420320574,-0.4183435790382594,0.9955750900767122,0.9949887515596766,-0.23907981668710443,,,-0.5386374318446234,-0.5386374318446236,-0.5386374318446238,,,-0.21902508337129106,-0.21902482990934322,0.03995528362240664,,,-0.05457651395525658,0.26123649025886053,,0.09041176445631696,-0.043929893899113455,-0.05204137442023669,,0.4965091174685212,0.1494623055998417,-0.060817047393007535
PASSENGERS,0.9923065118688865,0.993941451459703,0.9945755576966687,0.9952195189569559,1.0,0.765132929197934,0.9100788066274818,-0.42985776750837307,0.9890849927471795,0.987824008065775,-0.24479645878250658,,,-0.5362958517067705,-0.5362958517067701,-0.5362958517067706,,,-0.2319730513963874,-0.23197292228796265,0.04966258696499063,,,-0.05396678428984644,0.25827447130923303,,0.08373925808541298,-0.03903828791769924,-0.04931128836523053,,0.49270043985034984,0.1966842194547579,-0.05997504217131861
FREIGHT,0.7648795232643809,0.7684935537155821,0.7583493318568887,0.7619464482024485,0.765132929197934,1.0,0.7496507638473603,-0.30628128054937165,0.7641643112248554,0.7600471811103932,-0.23839740753408126,,,-0.24380497076711616,-0.24380497076711596,-0.24380497076711632,,,-0.43983791201517003,-0.43983750412487455,-0.13604421163641306,,,-0.04478454341865959,-0.007841645235982823,,0.06234247586467458,0.022109367968193246,0.013363863009538393,,0.32880370619555316,0.0753347918059292,-0.05745854076915144
MAIL,0.8913504028492886,0.8929991343526678,0.9010139463981882,0.8989132420320574,0.9100788066274818,0.7496507638473603,1.0,-0.4799032275594353,0.8823781496532872,0.8764478383849579,-0.20815103578632377,,,-0.5337189346652561,-0.533718934665255,-0.5337189346652561,,,-0.30766636523928687,-0.30766660995647693,0.05490714274880767,,,-0.036126222705100366,0.2712991337070718,,0.011484846055047326,-0.04761150801831207,-0.054105311189876944,,0.4406931842283266,0.15464441076237834,-0.05317509251720991
DISTANCE,-0.40637826711742064,-0.40780524124125206,-0.42468619168662075,-0.4183435790382594,-0.42985776750837307,-0.30628128054937165,-0.4799032275594353,1.0,-0.379486993381432,-0.3768337832986275,0.4201483198615078,,,0.6703658775734268,0.6703658775734276,0.6703658775734271,,,0.45892312592135953,0.4589272026588356,-0.6586261727009556,,,0.08086144638520934,-0.09706085377489626,,0.08601369179248437,-0.07491446724569349,-0.06997704379910463,,-0.4188329994558394,-0.11118153823681552,0.12526454654997876
RAMP_TO_RAMP,0.9955501507649144,0.9977948932008438,0.9940679467850428,0.9955750900767122,0.9890849927471795,0.7641643112248554,0.8823781496532872,-0.379486993381432,1.0,0.9998495534812218,-0.2311464353164611,,,-0.5069729739526083,-0.5069729739526084,-0.5069729739526088,,,-0.2241748390157235,-0.22417439922071075,-0.0014361587909444099,,,-0.05972980788243177,0.2605227415991347,,0.09149155398551428,-0.05831911316961503,-0.06648816577419316,,0.45502687536216774,0.150112296153724,-0.058291337512101915
AIR_TIME,0.9948887951031757,0.9972346885359209,0.9934443563850509,0.9949887515596766,0.987824008065775,0.7600471811103932,0.8764478383849579,-0.3768337832986275,0.9998495534812218,1.0,-0.23079024078453247,,,-0.5079983839498087,-0.5079983839498083,-0.5079983839498091,,,-0.21628730914047167,-0.2162868641300346,0.001202325152908316,,,-0.060217057103184285,0.26201308669743323,,0.09248990620247226,-0.0593377210562958,-0.06735745013796261,,0.456116697617688,0.14932424913636017,-0.0579819227181351
